IndicatorCode,Location,Period,Dim1ValueCode,Value
WHOSIS_000001,Côte d’Ivoire,2015,FMLE,62.96
WHOSIS_000001,Zambia,2015,FMLE,63.02
WHOSIS_000001,Malawi,2015,BTSX,63.04
WHOSIS_000001,Congo,2015,BTSX,63.11
WHOSIS_000001,Pakistan,2015,MLE,63.12
WHOSIS_000001,Haiti,2015,FMLE,63.13
WHOSIS_000001,United Republic of Tanzania,2015,MLE,63.38
WHOSIS_000001,Burkina Faso,2015,FMLE,63.45
WHOSIS_000001,Mongolia,2015,MLE,63.45
WHOSIS_000001,Congo,2015,FMLE,63.59
WHOSIS_000001,Botswana,2015,FMLE,63.93
WHOSIS_000001,Gambia,2015,BTSX,64.14
WHOSIS_000001,Kenya,2015,BTSX,64.17
WHOSIS_000001,Pakistan,2015,BTSX,64.18
WHOSIS_000001,Madagascar,2015,BTSX,64.19
WHOSIS_000001,Benin,2015,FMLE,64.25
WHOSIS_000001,Burundi,2015,FMLE,64.26
WHOSIS_000001,South Sudan,2015,FMLE,64.3
WHOSIS_000001,Myanmar,2015,MLE,64.32
WHOSIS_000001,Syrian Arab Republic,2015,BTSX,64.4
WHOSIS_000001,Uganda,2015,BTSX,64.47
WHOSIS_000001,Papua New Guinea,2015,BTSX,64.49
WHOSIS_000001,Angola,2015,FMLE,64.5
WHOSIS_000001,Ghana,2015,BTSX,64.55
WHOSIS_000001,Djibouti,2015,BTSX,64.64
WHOSIS_000001,Vanuatu,2015,BTSX,64.64
WHOSIS_000001,Lao People's Democratic Republic,2015,MLE,64.7
WHOSIS_000001,Solomon Islands,2015,BTSX,64.74
WHOSIS_000001,Togo,2015,FMLE,64.83
WHOSIS_000001,Gabon,2015,BTSX,64.93
WHOSIS_000001,Ethiopia,2015,MLE,65.04
WHOSIS_000001,Comoros,2015,MLE,65.07
WHOSIS_000001,South Africa,2015,FMLE,65.34
WHOSIS_000001,Pakistan,2015,FMLE,65.36
WHOSIS_000001,United Republic of Tanzania,2015,BTSX,65.36
WHOSIS_000001,Yemen,2015,MLE,65.41
WHOSIS_000001,Eritrea,2015,FMLE,65.45
WHOSIS_000001,Senegal,2015,MLE,65.46
WHOSIS_000001,Rwanda,2015,MLE,65.47
WHOSIS_000001,Madagascar,2015,FMLE,65.5
WHOSIS_000001,Guyana,2015,BTSX,65.59
WHOSIS_000001,Micronesia (Federated States of),2015,FMLE,65.66
WHOSIS_000001,Turkmenistan,2015,MLE,65.66
WHOSIS_000001,Fiji,2015,MLE,65.77
WHOSIS_000001,Russian Federation,2015,MLE,65.85
WHOSIS_000001,Sudan,2015,MLE,66.19
WHOSIS_000001,Cambodia,2015,MLE,66.2
WHOSIS_000001,Namibia,2015,FMLE,66.22
WHOSIS_000001,Gambia,2015,FMLE,66.28
WHOSIS_000001,Comoros,2015,BTSX,66.45
WHOSIS_000001,Malawi,2015,FMLE,66.47
WHOSIS_000001,Papua New Guinea,2015,FMLE,66.54
WHOSIS_000001,Djibouti,2015,FMLE,66.62
WHOSIS_000001,Kenya,2015,FMLE,66.62
WHOSIS_000001,Tajikistan,2015,MLE,66.69
WHOSIS_000001,Ethiopia,2015,BTSX,66.82
WHOSIS_000001,Lao People's Democratic Republic,2015,BTSX,67.08
WHOSIS_000001,Philippines,2015,MLE,67.13
WHOSIS_000001,Mauritania,2015,MLE,67.19
WHOSIS_000001,Republic of Moldova,2015,MLE,67.19
WHOSIS_000001,Senegal,2015,BTSX,67.2
WHOSIS_000001,Ukraine,2015,MLE,67.21
WHOSIS_000001,United Republic of Tanzania,2015,FMLE,67.26
WHOSIS_000001,Timor-Leste,2015,MLE,67.31
